distance,timedelta,temperature
4.3533,12,2.0
6.3607,13,7.6
2.9064,13,7.9
2.0831,34,7.5
10.1208,20,3.0
0.26489999999999997,12,7.6
0.5906,27,9.3
6.3692,19,1.1
0.007,36,6.8
3.1833,25,5.8
3.0975,13,3.1
3.0702,6,4.3
6.3875,21,3.8
9.9062,36,8.8
3.2191,8,-0.1
1.0428,6,7.2
5.088,14,7.6
3.2603,12,4.9
2.5391,9,4.5
4.3034,15,4.4
6.8481000000000005,13,7.8
3.8379000000000003,11,8.4
13.2711,28,1.2
1.4207,49,3.5
6.347899999999999,24,8.4
0.9269,8,5.8
3.257,25,4.8
15.506,28,4.8
3.2554000000000003,11,3.6
2.6885,6,2.1
3.3322,24,8.2
4.3888,14,4.9
3.7674000000000003,10,8.8
3.2288,29,7.5
0.0,9,4.8
1.3558,32,10.2
10.136299999999999,35,0.5
6.0516000000000005,23,10.0
6.4683,14,4.2
2.3802,8,9.7
5.081,15,8.2
0.0845,1,4.3
0.8242999999999999,33,7.8
3.5665,14,6.8
7.417800000000001,21,5.8
1.9561,8,4.4
2.8842,12,7.4
3.4178,27,4.2
4.8629,21,6.0
1.4864000000000002,21,11.4
4.1101,11,11.5
10.2354,20,2.8
0.647,6,5.5
6.7118,16,3.5
1.2506,13,9.4
0.0,4,8.6
4.9633,28,4.8
0.7545,14,4.5
1.6083,12,9.3
4.7323,18,11.0
6.3018,17,3.4
8.9861,11,3.0
0.0012,22,3.9
5.1898,14,9.4
0.5778,3,2.8
8.7936,24,5.5
2.9078000000000004,13,11.6
4.9734,14,7.8
2.3034,18,0.8
3.314,12,5.4
3.4631999999999996,11,5.8
2.5915,35,6.3
2.8718000000000004,8,2.2
0.9892000000000001,1,2.8
7.961399999999999,16,6.7
0.0,3,4.0
4.3039,6,11.7
0.1056,30,3.9
7.0208,10,2.3
0.8264,3,2.6
0.0,8,6.5
4.6203,12,9.0
4.4567,16,2.5
0.0,25,4.0
3.0764,17,7.4
